osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
2145955,None,2,primary,None,12.30,7.00,6,36939,DotRef,6.30
2145956,None,2,primary,None,12.30,8.60,6,6890,DotRef,6.30
2190803,None,2,primary,None,12.30,27.90,1b,38631,DotRef,6.30
2199184,None,2,primary,None,12.30,14.70,4a,7672,DotRef,6.30
2199749,None,2,primary,None,12.30,24.60,1b,7672,DotRef,6.30
2199750,None,1,primary,None,9.15,13.00,1a,46433,DotRef,3.15
2199751,None,4,primary,None,18.60,16.90,2a,56625,DotRef,12.60
2239037,None,2,primary,None,12.30,7.80,6,57269,DotRef,6.30
2239239,None,2,primary,None,12.30,23.00,2b,57269,DotRef,6.30
2239241,None,2,primary,None,12.30,7.40,6,57269,DotRef,6.30
2246557,None,2,primary,None,12.30,7.00,6,8087,DotRef,6.30
2257640,None,2,primary,None,12.30,0.00,5,17013,DotRef,6.30
2261665,None,2,primary,None,12.30,7.00,6,47713,DotRef,6.30
2261944,None,2,primary,None,12.30,0.00,5,56144,DotRef,6.30
2263971,None,2,primary,None,12.30,19.30,4a,80694,DotRef,6.30
2263979,None,2,primary,None,12.30,12.80,4a,58136,DotRef,6.30
2273080,None,2,primary,None,12.30,6.80,6,6893,DotRef,6.30
2273158,None,2,primary,None,12.30,6.60,6,57713,DotRef,6.30
2293950,None,2,primary,None,12.30,12.20,3a,74922,DotRef,6.30
2371516,None,2,primary,None,12.30,13.40,3a,18478,DotRef,6.30
2372214,None,1,primary,None,9.15,9.10,6,17170,DotRef,3.15
2372215,None,2,primary,None,12.30,9.40,6,28216,DotRef,6.30
2375131,None,2,primary,None,12.30,0.00,5,2375131,primary,6.30
2375133,None,2,primary,None,12.30,0.00,5,2375133,primary,6.30
2375134,None,2,primary,None,12.30,0.00,5,2375134,primary,6.30
2401749,None,2,primary,None,12.30,13.30,2a,74498,DotRef,6.30
2401920,None,5,primary,None,21.75,7.00,6,14779,Lts,15.75
2401941,None,2,primary,None,12.30,7.90,6,48004,DotRef,6.30
2401965,None,2,primary,None,12.30,6.70,6,46662,DotRef,6.30
2402128,None,2,primary,None,12.30,6.70,6,46662,DotRef,6.30
2406718,None,2,primary,None,12.30,None,6,7795,DotRef,6.30
2418014,None,1,primary,None,9.15,12.90,2a,57302,DotRef,3.15
2418015,None,3,primary,None,15.45,9.80,6,26647,DotRef,9.45
2424000,None,2,primary,None,12.30,19.40,1a,6751,DotRef,6.30
2425193,None,2,primary,None,12.30,20.30,1b,17637,DotRef,6.30
2429801,None,2,primary,None,12.30,0.00,5,2429801,primary,6.30
2430320,None,2,primary,None,12.30,0.00,5,2430320,primary,6.30
2430957,None,2,primary,None,12.30,10.70,1a,57719,DotRef,6.30
2450183,None,2,primary,None,12.30,11.90,3a,16791,DotRef,6.30
2470682,None,2,primary,None,12.30,0.00,5,26920,DotRef,6.30
2470683,None,2,primary,None,12.30,9.30,6,56869,DotRef,6.30
2471877,None,2,primary,None,12.30,None,6,2471877,primary,6.30
2513527,None,2,primary,None,12.30,18.80,1a,6805,DotRef,6.30
2524456,None,2,primary,None,12.30,0.00,5,2524456,primary,6.30
2524457,None,2,primary,None,12.30,0.00,5,2524457,primary,6.30
2524462,None,1,primary,None,9.15,0.00,5,16434,DotRef,3.15
2526156,None,2,primary,None,12.30,7.60,6,7605,DotRef,6.30
2532419,None,2,primary,None,12.30,10.10,3a,26828,DotRef,6.30
2532420,None,2,primary,None,12.30,0.00,5,26828,DotRef,6.30
2532421,None,2,primary,None,12.30,0.00,5,46839,DotRef,6.30
2532423,None,2,primary,None,12.30,0.00,5,58193,DotRef,6.30
2535606,None,2,primary,None,12.30,8.50,6,6632,DotRef,6.30
2540978,None,2,primary,None,12.30,7.60,6,7790,DotRef,6.30
2623292,None,2,primary,None,12.30,8.30,6,16616,DotRef,6.30
2624955,None,2,primary,None,12.30,8.10,6,16618,DotRef,6.30
2648784,None,2,primary,None,12.30,6.50,6,48664,DotRef,6.30
2700151,None,2,primary,None,12.30,21.00,1b,6870,DotRef,6.30
2700212,None,2,primary,None,12.30,0.00,5,56614,DotRef,6.30
2701143,None,2,primary,None,12.30,7.00,6,56159,DotRef,6.30
2701484,None,2,primary,None,12.30,7.00,6,26200,DotRef,6.30
2701579,None,1,primary,None,9.15,0.00,5,46671,DotRef,3.15
2701615,None,2,primary,None,12.30,0.00,5,56488,DotRef,6.30
2701623,None,2,primary,None,12.30,0.00,5,56628,DotRef,6.30
2701626,None,2,primary,None,12.30,0.00,5,56628,DotRef,6.30
2701630,None,2,primary,None,12.30,7.30,6,46654,DotRef,6.30
2731109,None,2,primary,None,12.30,7.70,6,16737,DotRef,6.30
2734355,None,2,primary,None,12.30,0.00,5,2734355,primary,6.30
2810663,None,2,primary,None,12.30,7.00,6,99166,DotRef,6.30
2815677,None,2,primary,None,12.30,8.80,6,6748,DotRef,6.30
2815692,None,2,primary,None,12.30,7.90,6,6748,DotRef,6.30
2817103,None,1,primary,None,9.15,0.00,5,2817103,primary,3.15
2831540,None,2,primary,None,12.30,10.20,4a,37102,DotRef,6.30
2876428,None,3,primary,None,15.45,24.50,2b,16401,DotRef,9.45
2876891,no,3,primary,None,15.45,19.40,3a,7671,DotRef,9.45
