osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
60494630,None,3,primary,None,15.45,14.20,3a,48159,DotRef,9.45
60531130,None,3,primary,None,15.45,16.40,3a,48159,DotRef,9.45
60769056,None,2,primary,None,12.30,6.50,6,48424,DotRef,6.30
60769063,None,2,primary,None,12.30,7.10,6,26773,DotRef,6.30
60873244,None,3,primary,None,15.45,0.00,5,60873244,primary,9.45
60873246,None,2,primary,None,12.30,0.00,5,60873246,primary,6.30
60873247,None,2,primary,None,12.30,0.00,5,60873247,primary,6.30
60922649,None,2,primary,None,12.30,0.00,5,60922649,primary,6.30
60951632,None,2,primary,None,12.30,0.00,5,60951632,primary,6.30
60951637,None,2,primary,None,12.30,0.00,5,60951637,primary,6.30
60951638,None,3,primary,None,15.45,0.00,5,60951638,primary,9.45
60974940,None,2,primary,None,12.30,33.40,2c,75400,DotRef,6.30
61009954,None,2,primary,None,12.30,7.40,6,37636,DotRef,6.30
61009957,None,2,primary,None,12.30,7.00,6,37636,DotRef,6.30
61074713,None,2,primary,None,12.30,15.50,1a,17009,DotRef,6.30
61117919,None,2,primary,None,12.30,7.50,6,48172,DotRef,6.30
61205288,None,3,primary,None,15.45,0.00,5,28874,DotRef,9.45
61205303,None,3,primary,None,15.45,7.20,6,28874,DotRef,9.45
61225072,None,2,primary,None,12.30,0.00,5,61225072,primary,6.30
61232119,None,4,primary,None,18.60,0.00,5,61232119,primary,12.60
61267169,None,2,primary,None,12.30,0.00,5,61267169,primary,6.30
61267172,None,3,primary,None,15.45,0.00,5,61267172,primary,9.45
61328450,None,2,primary,None,12.30,None,6,18495,DotRef,6.30
61348682,None,2,primary,None,12.30,5.70,6,46803,DotRef,6.30
61348683,None,2,primary,None,12.30,7.20,6,46803,DotRef,6.30
61405080,None,1,primary,None,9.15,7.00,6,17511,DotRef,3.15
61405082,None,2,primary,None,12.30,4.00,6,8457,Lts,6.30
61407769,None,2,primary,None,12.30,None,6,61407769,primary,6.30
61407770,None,2,primary,None,12.30,None,6,61407770,primary,6.30
61407771,None,2,primary,None,12.30,None,6,61407771,primary,6.30
61407786,None,2,primary,None,12.30,None,6,61407786,primary,6.30
61421889,None,2,primary,None,12.30,None,6,61421889,primary,6.30
61421907,None,2,primary,None,12.30,0.00,5,61421907,primary,6.30
61421909,None,2,primary,None,12.30,None,6,61421909,primary,6.30
61460917,None,2,primary,None,12.30,6.80,6,6199,DotRef,6.30
61476720,None,2,primary,None,12.30,8.00,6,99003,DotRef,6.30
61476736,None,2,primary,None,12.30,0.00,5,99003,DotRef,6.30
61507663,None,2,primary,None,12.30,11.00,2a,47088,DotRef,6.30
61507664,None,2,primary,None,12.30,0.00,5,47088,DotRef,6.30
61507665,None,2,primary,None,12.30,14.10,4a,37776,DotRef,6.30
61507666,None,2,primary,None,12.30,11.40,2a,47088,DotRef,6.30
61513805,None,2,primary,None,12.30,9.00,6,7618,DotRef,6.30
61692029,None,2,primary,None,12.30,10.30,3a,58323,DotRef,6.30
61692033,None,2,primary,None,12.30,7.80,6,58323,DotRef,6.30
61692034,None,2,primary,None,12.30,7.70,6,47604,DotRef,6.30
61717671,None,2,primary,None,12.30,7.90,6,8670,DotRef,6.30
61730113,None,2,primary,None,12.30,14.00,2a,8438,DotRef,6.30
61730114,None,2,primary,None,12.30,9.10,6,17688,DotRef,6.30
61841419,None,2,primary,None,12.30,6.60,6,37264,DotRef,6.30
61904429,None,2,primary,None,12.30,7.50,6,16614,DotRef,6.30
61904430,None,2,primary,None,12.30,6.20,6,46653,DotRef,6.30
61921650,None,2,primary,None,12.30,0.00,5,37193,DotRef,6.30
61921651,None,2,primary,None,12.30,8.20,6,37193,DotRef,6.30
61960153,None,3,primary,None,15.45,29.30,1b,6459,DotRef,9.45
61960154,None,3,primary,None,15.45,32.70,1c,6459,DotRef,9.45
61977973,None,2,primary,None,12.30,10.10,3a,56124,DotRef,6.30
61993797,None,2,primary,None,12.30,0.00,5,61993797,primary,6.30
61993798,None,2,primary,None,12.30,0.00,5,61993798,primary,6.30
61995471,None,2,primary,None,12.30,11.40,2a,18494,DotRef,6.30
62001302,None,3,primary,None,15.45,0.00,5,62001302,primary,9.45
62032483,None,2,primary,None,12.30,0.00,5,62032483,primary,6.30
62036625,None,2,primary,None,12.30,9.50,6,48129,DotRef,6.30
62318877,None,2,primary,None,12.30,None,6,36147,DotRef,6.30
62318895,None,2,primary,None,12.30,None,6,62318895,primary,6.30
62491024,None,2,primary,None,12.30,0.00,5,62491024,primary,6.30
62491027,None,2,primary,None,12.30,0.00,5,62491027,primary,6.30
62521260,None,2,primary,None,12.30,9.20,6,16764,DotRef,6.30
63668940,None,2,primary,None,12.30,28.70,4b,16866,DotRef,6.30
63951011,None,2,primary,None,12.30,8.10,6,18460,DotRef,6.30
63972387,None,2,primary,None,12.30,5.80,6,8438,DotRef,6.30
64080305,None,2,primary,None,12.30,8.70,6,17174,DotRef,6.30
64283547,None,2,primary,None,12.30,6.50,6,8670,DotRef,6.30
64283556,None,2,primary,None,12.30,7.20,6,5245,Lts,6.30
64283558,None,2,primary,None,12.30,8.40,6,57211,DotRef,6.30
64283562,None,2,primary,None,12.30,6.70,6,8670,DotRef,6.30
64344829,None,2,primary,None,12.30,8.10,6,56757,DotRef,6.30
64344832,None,2,primary,None,12.30,0.00,5,46803,DotRef,6.30
64344835,None,2,primary,None,12.30,9.10,6,16767,DotRef,6.30
64344836,None,2,primary,None,12.30,6.90,6,56757,DotRef,6.30
64344837,None,2,primary,None,12.30,7.20,6,46817,DotRef,6.30
64344839,None,2,primary,None,12.30,7.00,6,56757,DotRef,6.30
64344842,None,2,primary,None,12.30,7.50,6,56757,DotRef,6.30
64344844,None,2,primary,None,12.30,7.50,6,56757,DotRef,6.30
64344845,None,2,primary,None,12.30,6.90,6,56757,DotRef,6.30
64344850,None,2,primary,None,12.30,6.90,6,36814,DotRef,6.30
64344861,None,2,primary,None,12.30,6.70,6,36814,DotRef,6.30
64344862,None,2,primary,None,12.30,7.10,6,56757,DotRef,6.30
64344864,None,2,primary,None,12.30,7.40,6,56757,DotRef,6.30
64344866,None,2,primary,None,12.30,7.30,6,56757,DotRef,6.30
64442216,None,2,primary,None,12.30,0.00,5,56965,DotRef,6.30
64442217,None,1,primary,None,9.15,0.00,5,17567,DotRef,3.15
64443666,None,2,primary,None,12.30,18.60,4a,48821,DotRef,6.30
64443668,None,2,primary,None,12.30,14.70,4a,48821,DotRef,6.30
64443671,None,2,primary,None,12.30,18.80,1a,58172,DotRef,6.30
64454235,None,2,primary,None,12.30,7.80,6,36925,DotRef,6.30
64781955,None,2,primary,None,12.30,0.00,5,64781955,primary,6.30
64781956,None,2,primary,None,12.30,0.00,5,64781956,primary,6.30
65350537,None,2,primary,None,12.30,6.30,6,27490,DotRef,6.30
65432431,None,4,primary,None,18.60,0.00,5,65432431,primary,12.60
66059035,None,2,primary,None,12.30,None,6,66059035,primary,6.30
66060900,None,2,primary,None,12.30,0.00,5,66060900,primary,6.30
66282519,None,2,primary,None,12.30,12.50,3a,17769,DotRef,6.30
66681667,None,2,primary,None,12.30,0.00,5,66681667,primary,6.30
66767929,None,2,primary,None,12.30,0.00,5,48146,DotRef,6.30
66789463,None,2,primary,None,12.30,15.70,4a,47730,DotRef,6.30
66877640,None,2,primary,None,12.30,12.50,4a,36948,DotRef,6.30
66936696,None,2,primary,None,12.30,8.60,6,48146,DotRef,6.30
67035370,None,2,primary,None,12.30,None,6,17821,DotRef,6.30
67070083,None,4,primary,None,18.60,7.70,6,37103,DotRef,12.60
67070085,None,2,primary,None,12.30,7.30,6,37103,DotRef,6.30
67070086,no,2,primary,None,12.30,8.90,6,37103,DotRef,6.30
67070093,None,2,primary,None,12.30,8.20,6,37103,DotRef,6.30
67253857,None,2,primary,None,12.30,15.00,2a,46435,DotRef,6.30
67253859,None,2,primary,None,12.30,9.60,6,36947,DotRef,6.30
67253876,None,2,primary,None,12.30,12.10,2a,47729,DotRef,6.30
67253899,None,2,primary,None,12.30,11.60,3a,47729,DotRef,6.30
67261245,None,2,primary,None,12.30,13.40,4a,6120,DotRef,6.30
67527627,None,2,primary,None,12.30,7.20,6,26832,DotRef,6.30
67674025,None,1,primary,None,9.15,6.40,6,47611,DotRef,3.15
68153395,None,2,primary,None,12.30,0.00,5,38836,DotRef,6.30
68280289,None,2,primary,None,12.30,7.60,6,26918,DotRef,6.30
68280292,None,2,primary,None,12.30,7.50,6,26918,DotRef,6.30
68723035,None,2,primary,None,12.30,None,6,68723035,primary,6.30
68760806,None,2,primary,None,12.30,6.50,6,26790,DotRef,6.30
68883083,None,2,primary,None,12.30,0.00,5,2006,Lts,6.30
68883405,None,2,primary,None,12.30,22.50,4b,16108,DotRef,6.30
69147486,None,2,primary,None,12.30,26.00,2b,16866,DotRef,6.30
69147494,None,2,primary,None,12.30,13.10,2a,16866,DotRef,6.30
69364263,None,2,primary,None,12.30,0.00,5,69364263,primary,6.30
69685371,None,2,primary,None,12.30,7.50,6,26803,DotRef,6.30
69730877,None,2,primary,None,12.30,0.00,5,69730877,primary,6.30
69890799,None,2,primary,None,12.30,0.00,5,69890799,primary,6.30
69890800,None,2,primary,None,12.30,0.00,5,69890800,primary,6.30
70040537,None,2,primary,None,12.30,0.00,5,70040537,primary,6.30
70241957,no,2,primary,None,12.30,0.00,5,8506,DotRef,6.30
70520849,None,2,primary,None,12.30,16.30,2a,36436,DotRef,6.30
70520890,None,2,primary,None,12.30,14.30,2a,46435,DotRef,6.30
70520892,None,2,primary,None,12.30,14.80,4a,36436,DotRef,6.30
70521224,None,2,primary,None,12.30,12.90,1a,17640,DotRef,6.30
70521225,None,2,primary,None,12.30,13.40,1a,17640,DotRef,6.30
70521922,None,2,primary,None,12.30,13.10,1a,27734,DotRef,6.30
70521925,None,2,primary,None,12.30,10.90,3a,27734,DotRef,6.30
70521929,None,2,primary,None,12.30,9.60,6,27734,DotRef,6.30
70522060,None,2,primary,None,12.30,13.40,2a,46435,DotRef,6.30
70522061,None,2,primary,None,12.30,14.40,2a,16403,DotRef,6.30
70522064,None,2,primary,None,12.30,16.10,2a,16403,DotRef,6.30
70529056,None,2,primary,None,12.30,19.80,2a,36436,DotRef,6.30
70535047,None,2,primary,None,12.30,9.80,6,46435,DotRef,6.30
70711613,None,2,primary,None,12.30,9.10,6,36948,DotRef,6.30
70733175,None,2,primary,None,12.30,7.10,6,47096,DotRef,6.30
70733176,None,2,primary,None,12.30,7.70,6,47096,DotRef,6.30
70733177,None,2,primary,None,12.30,5.80,6,951691,DotRef,6.30
70928214,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
70928216,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
70928219,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
70928220,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
71007888,None,2,primary,None,12.30,0.00,5,71007888,primary,6.30
71007889,None,2,primary,None,12.30,0.00,5,71007889,primary,6.30
71270193,None,1,primary,None,9.15,6.70,6,26659,DotRef,3.15
71270197,None,1,primary,None,9.15,10.80,1a,26659,DotRef,3.15
71387747,None,2,primary,None,12.30,9.10,6,17015,DotRef,6.30
71394863,None,2,primary,None,12.30,7.00,6,37720,DotRef,6.30
71762477,None,2,primary,None,12.30,0.00,5,71762477,primary,6.30
72101422,None,3,primary,None,15.45,16.60,2a,37122,DotRef,9.45
72101429,None,2,primary,None,12.30,0.00,5,37122,DotRef,6.30
72101436,None,3,primary,None,15.45,7.00,6,37122,DotRef,9.45
72101437,None,2,primary,None,12.30,0.00,5,37122,DotRef,6.30
72140279,None,2,primary,None,12.30,14.60,4a,16108,DotRef,6.30
72454090,None,2,primary,None,12.30,0.00,5,36436,DotRef,6.30
72454094,None,2,primary,None,12.30,0.00,5,36436,DotRef,6.30
72454100,None,2,primary,None,12.30,14.80,2a,6896,DotRef,6.30
72501110,None,2,primary,None,12.30,None,6,72501110,primary,6.30
72501111,None,1,primary,None,9.15,None,6,72501111,primary,3.15
72650976,None,2,primary,None,12.30,11.70,4a,16866,DotRef,6.30
73030908,None,2,primary,None,12.30,8.50,6,18478,DotRef,6.30
73058382,None,2,primary,None,12.30,23.90,2b,27784,DotRef,6.30
73058385,None,2,primary,None,12.30,15.10,2a,7717,DotRef,6.30
73058387,None,3,primary,None,15.45,14.40,2a,27784,DotRef,9.45
73058390,None,2,primary,None,12.30,16.00,2a,27784,DotRef,6.30
73058399,None,2,primary,None,12.30,19.90,1a,8506,DotRef,6.30
73058401,None,2,primary,None,12.30,10.00,3a,16736,DotRef,6.30
73823309,None,2,primary,None,12.30,17.30,2a,17915,DotRef,6.30
73904043,None,2,primary,None,12.30,7.00,6,16859,DotRef,6.30
74141482,None,4,primary,None,18.60,24.80,1b,75101,DotRef,12.60
74190152,None,2,primary,None,12.30,6.80,6,46913,DotRef,6.30
74235967,None,2,primary,None,12.30,18.40,1a,758,Lts,6.30
74440561,None,2,primary,None,12.30,8.00,6,16624,DotRef,6.30
74663175,None,2,primary,None,12.30,7.40,6,37708,DotRef,6.30
74675695,None,2,primary,None,12.30,7.10,6,26802,DotRef,6.30
74861892,None,2,primary,None,12.30,0.00,5,74861892,primary,6.30
74926604,None,2,primary,None,12.30,9.20,6,36925,DotRef,6.30
74942276,None,2,primary,None,12.30,7.10,6,46807,DotRef,6.30
75280940,None,2,primary,None,12.30,None,6,75280940,primary,6.30
75615773,None,2,primary,None,12.30,0.00,5,74545,DotRef,6.30
75615780,None,2,primary,None,12.30,0.00,5,74545,DotRef,6.30
75650379,None,2,primary,None,12.30,0.00,5,75650379,primary,6.30
75650481,None,2,primary,None,12.30,10.90,3a,27607,DotRef,6.30
75665137,None,2,primary,None,12.30,0.00,5,75665137,primary,6.30
75687498,None,2,primary,None,12.30,17.30,1a,48449,DotRef,6.30
75762689,no,2,primary,None,12.30,0.00,5,75762689,primary,6.30
75763881,None,2,primary,None,12.30,0.00,5,75763881,primary,6.30
75763883,None,2,primary,None,12.30,0.00,5,75763883,primary,6.30
75763884,None,2,primary,None,12.30,0.00,5,75763884,primary,6.30
75763887,None,2,primary,None,12.30,0.00,5,75763887,primary,6.30
75763889,None,2,primary,None,12.30,0.00,5,75763889,primary,6.30
75764236,None,1,primary,None,9.15,None,6,75764236,primary,3.15
75764237,None,2,primary,None,12.30,None,6,75764237,primary,6.30
75770844,None,2,primary,None,12.30,0.00,5,75770844,primary,6.30
75770848,None,2,primary,None,12.30,0.00,5,75770848,primary,6.30
75785478,None,2,primary,None,12.30,7.00,6,6150,DotRef,6.30
75795809,None,2,primary,None,12.30,5.80,6,7064,DotRef,6.30
75795811,None,2,primary,None,12.30,0.00,5,57098,DotRef,6.30
75807225,None,2,primary,None,12.30,0.00,5,75807225,primary,6.30
76585010,None,2,primary,None,12.30,None,6,76585010,primary,6.30
76585013,None,2,primary,None,12.30,None,6,76585013,primary,6.30
76585062,None,2,primary,None,12.30,None,6,76585062,primary,6.30
76585069,None,2,primary,None,12.30,None,6,76585069,primary,6.30
76590370,None,2,primary,None,12.30,8.70,6,57719,DotRef,6.30
76701899,None,2,primary,None,12.30,7.70,6,46803,DotRef,6.30
76783723,None,2,primary,None,12.30,0.00,5,76783723,primary,6.30
76844263,None,2,primary,None,12.30,0.00,5,76844263,primary,6.30
76844268,None,2,primary,None,12.30,0.00,5,76844268,primary,6.30
77342443,None,2,primary,None,12.30,0.00,5,28387,DotRef,6.30
77356799,None,1,primary,None,9.15,0.00,5,77356799,primary,3.15
77431943,None,2,primary,None,12.30,6.20,6,8049,DotRef,6.30
77886394,None,2,primary,None,12.30,None,6,47100,DotRef,6.30
77909830,None,2,primary,None,12.30,8.50,6,77909830,primary,6.30
79308716,None,2,primary,None,12.30,7.40,6,8064,DotRef,6.30
79308725,None,2,primary,None,12.30,7.80,6,8064,DotRef,6.30
79308733,None,2,primary,None,12.30,9.70,6,46660,DotRef,6.30
79308736,None,2,primary,None,12.30,9.70,6,6629,DotRef,6.30
79318521,None,2,primary,None,12.30,25.10,1b,46432,DotRef,6.30
79318523,None,2,primary,None,12.30,22.60,1b,29009,DotRef,6.30
79318524,None,2,primary,None,12.30,39.80,1c,29009,DotRef,6.30
79433586,None,2,primary,None,12.30,0.00,5,58173,DotRef,6.30
79433593,None,2,primary,None,12.30,7.20,6,47088,DotRef,6.30
79541599,None,2,primary,None,12.30,0.00,5,47088,DotRef,6.30
79542022,None,3,primary,None,15.45,7.30,6,47730,DotRef,9.45
79632948,None,2,primary,None,12.30,0.00,5,79632948,primary,6.30
79632961,None,2,primary,None,12.30,0.00,5,79632961,primary,6.30
79632975,None,2,primary,None,12.30,0.00,5,79632975,primary,6.30
79632987,None,2,primary,None,12.30,0.00,5,79632987,primary,6.30
79632995,None,2,primary,None,12.30,0.00,5,79632995,primary,6.30
79632999,None,2,primary,None,12.30,0.00,5,79632999,primary,6.30
80261779,None,2,primary,None,12.30,7.00,6,16753,DotRef,6.30
80261831,None,2,primary,None,12.30,6.70,6,36810,DotRef,6.30
80263146,None,2,primary,None,12.30,22.50,2b,57211,DotRef,6.30
80290447,None,2,primary,None,12.30,None,6,80290447,primary,6.30
81826069,None,2,primary,None,12.30,10.20,2a,7618,DotRef,6.30
81839756,None,2,primary,None,12.30,8.10,6,81839756,primary,6.30
82732083,None,2,primary,None,12.30,6.90,6,57611,DotRef,6.30
82732341,None,2,primary,None,12.30,8.40,6,57611,DotRef,6.30
82805190,None,2,primary,None,12.30,7.10,6,47714,DotRef,6.30
83358161,None,2,primary,None,12.30,9.90,6,57080,DotRef,6.30
83358163,None,2,primary,None,12.30,12.70,1a,57080,DotRef,6.30
83358164,None,2,primary,None,12.30,8.70,6,27264,DotRef,6.30
83606936,None,2,primary,None,12.30,12.50,4a,36946,DotRef,6.30
83801193,None,2,primary,None,12.30,32.10,2c,37662,DotRef,6.30
83801194,no,2,primary,None,12.30,21.00,2b,48579,DotRef,6.30
83897753,None,2,primary,None,12.30,16.90,1a,7570,DotRef,6.30
83897754,None,2,primary,None,12.30,59.00,1c,7570,DotRef,6.30
84697110,None,2,primary,None,12.30,11.40,4a,38595,DotRef,6.30
84698718,None,2,primary,None,12.30,14.90,2a,7717,DotRef,6.30
84698722,None,2,primary,None,12.30,16.30,2a,7717,DotRef,6.30
85035422,None,2,primary,None,12.30,9.20,6,26905,DotRef,6.30
85215078,None,2,primary,None,12.30,6.90,6,27722,DotRef,6.30
85215080,None,2,primary,None,12.30,7.00,6,27722,DotRef,6.30
85215083,None,2,primary,None,12.30,6.80,6,27722,DotRef,6.30
85215085,None,2,primary,None,12.30,4.80,6,27722,DotRef,6.30
85257746,None,2,primary,None,12.30,11.80,4a,7934,DotRef,6.30
85404758,None,3,primary,None,15.45,0.00,5,70049,DotRef,9.45
85404762,None,3,primary,None,15.45,0.00,5,70049,DotRef,9.45
85419297,None,2,primary,None,12.30,7.00,6,6804,DotRef,6.30
85512935,None,2,primary,None,12.30,6.50,6,56742,DotRef,6.30
85621394,None,2,primary,None,12.30,7.60,6,18492,DotRef,6.30
85621396,None,2,primary,None,12.30,6.20,6,18492,DotRef,6.30
85727690,None,2,primary,None,12.30,0.00,5,28119,DotRef,6.30
85958681,None,3,primary,None,15.45,0.00,5,56890,DotRef,9.45
87028750,None,2,primary,None,12.30,8.00,6,7050,DotRef,6.30
87191836,None,1,primary,None,9.15,0.00,5,87191836,primary,3.15
87195745,None,2,primary,None,12.30,8.00,6,6764,DotRef,6.30
87437845,None,2,primary,None,12.30,6.60,6,27539,DotRef,6.30
87437847,None,2,primary,None,12.30,None,6,37538,DotRef,6.30
88183744,None,2,primary,None,12.30,0.00,5,88183744,primary,6.30
88448984,None,2,primary,None,12.30,7.30,6,58090,DotRef,6.30
88453801,None,2,primary,None,12.30,0.00,5,8707,DotRef,6.30
88453802,None,2,primary,None,12.30,6.90,6,88453802,primary,6.30
88453806,None,2,primary,None,12.30,12.40,4a,8707,DotRef,6.30
88453810,None,2,primary,None,12.30,6.00,6,88453810,primary,6.30
88454399,None,2,primary,None,12.30,9.40,6,8707,DotRef,6.30
88840807,None,2,primary,None,12.30,0.00,5,6638,DotRef,6.30
88998810,None,2,primary,None,12.30,8.70,6,56771,DotRef,6.30
88998812,None,3,primary,None,15.45,8.60,6,56771,DotRef,9.45
88998815,None,1,primary,None,9.15,0.00,5,26185,DotRef,3.15
89213976,None,3,primary,None,15.45,8.50,6,26185,DotRef,9.45
89896634,None,2,primary,None,12.30,8.70,6,27237,DotRef,6.30
89896637,None,1,primary,None,9.15,8.30,6,27237,DotRef,3.15
89896657,None,2,primary,None,12.30,8.10,6,27237,DotRef,6.30
92512581,None,1,primary,None,9.15,8.40,6,26785,DotRef,3.15
92514996,None,1,primary,None,9.15,8.00,6,26782,DotRef,3.15
92669504,None,2,primary,None,12.30,8.80,6,57234,DotRef,6.30
92669505,None,2,primary,None,12.30,10.00,6,57234,DotRef,6.30
92669506,None,2,primary,None,12.30,0.00,5,942529,DotRef,6.30
92669507,None,2,primary,None,12.30,0.00,5,942529,DotRef,6.30
92719734,None,2,primary,None,12.30,4.00,6,92719734,primary,6.30
92725784,None,2,primary,None,12.30,7.10,6,36832,DotRef,6.30
92725786,None,2,primary,None,12.30,0.00,5,36832,DotRef,6.30
92736113,None,2,primary,None,12.30,9.10,6,36805,DotRef,6.30
92736701,None,2,primary,None,12.30,7.00,6,8644,DotRef,6.30
92736702,None,2,primary,None,12.30,8.00,6,27595,DotRef,6.30
92736703,None,2,primary,None,12.30,7.20,6,8644,DotRef,6.30
93773949,None,2,primary,None,12.30,13.80,2a,46433,DotRef,6.30
93803196,None,2,primary,None,12.30,0.00,5,93803196,primary,6.30
93803198,None,2,primary,None,12.30,0.00,5,93803198,primary,6.30
93806215,None,2,primary,None,12.30,0.00,5,93806215,primary,6.30
94210943,None,2,primary,None,12.30,0.00,5,94210943,primary,6.30
94210945,None,2,primary,None,12.30,0.00,5,94210945,primary,6.30
94346699,None,2,primary,None,12.30,23.60,2b,46120,DotRef,6.30
94346700,None,2,primary,None,12.30,7.80,6,6120,DotRef,6.30
94346701,None,2,primary,None,12.30,0.00,5,46120,DotRef,6.30
94346702,None,2,primary,None,12.30,13.70,2a,46120,DotRef,6.30
94431563,None,1,primary,None,9.15,0.00,5,36832,DotRef,3.15
94431567,None,1,primary,None,9.15,0.00,5,36832,DotRef,3.15
94670390,None,2,primary,None,12.30,7.10,6,46154,DotRef,6.30
94670391,None,2,primary,None,12.30,7.20,6,16140,DotRef,6.30
94892317,None,2,primary,None,12.30,20.80,3b,94892317,primary,6.30
94892319,None,2,primary,None,12.30,17.20,1a,75095,DotRef,6.30
94999428,None,2,primary,None,12.30,0.00,5,94999428,primary,6.30
95094733,None,2,primary,None,12.30,16.10,4a,57828,DotRef,6.30
95100742,no,2,primary,None,12.30,24.10,4b,17691,DotRef,6.30
95208509,None,3,primary,None,15.45,16.00,4a,27785,DotRef,9.45
95208510,None,2,primary,None,12.30,34.10,3c,7671,DotRef,6.30
95209413,None,2,primary,None,12.30,36.10,3c,7671,DotRef,6.30
95211064,None,1,primary,None,9.15,20.70,1b,37827,DotRef,3.15
95211066,None,1,primary,None,9.15,0.00,5,37827,DotRef,3.15
95211067,None,2,primary,None,12.30,18.10,4a,37827,DotRef,6.30
95212401,None,4,primary,None,18.60,23.00,3b,37827,DotRef,12.60
95465402,None,2,primary,None,12.30,0.00,5,95465402,primary,6.30
95465403,None,2,primary,None,12.30,0.00,5,95465403,primary,6.30
95465404,None,2,primary,None,12.30,0.00,5,95465404,primary,6.30
95465406,None,2,primary,None,12.30,0.00,5,95465406,primary,6.30
95465788,None,2,primary,None,12.30,0.00,5,95465788,primary,6.30
95471976,None,2,primary,None,12.30,0.00,5,95471976,primary,6.30
95620969,None,2,primary,None,12.30,None,6,95620969,primary,6.30
95620987,None,2,primary,None,12.30,None,6,95620987,primary,6.30
95806914,None,2,primary,None,12.30,0.00,5,95806914,primary,6.30
95859889,None,2,primary,None,12.30,13.00,2a,7607,DotRef,6.30
95867220,None,2,primary,None,12.30,12.70,2a,27785,DotRef,6.30
96091656,None,2,primary,None,12.30,0.00,5,96091656,primary,6.30
96091660,None,2,primary,None,12.30,0.00,5,96091660,primary,6.30
96285893,None,2,primary,None,12.30,None,6,96285893,primary,6.30
96285894,None,2,primary,None,12.30,None,6,96285894,primary,6.30
96285895,None,2,primary,None,12.30,None,6,96285895,primary,6.30
96292726,None,2,primary,None,12.30,15.60,4a,7607,DotRef,6.30
96292727,None,2,primary,None,12.30,12.60,4a,7607,DotRef,6.30
96381564,None,2,primary,None,12.30,17.90,4a,7607,DotRef,6.30
96452945,None,2,primary,None,12.30,11.50,1a,6428,DotRef,6.30
96452947,None,2,primary,None,12.30,14.30,1a,6428,DotRef,6.30
96559299,None,2,primary,None,12.30,0.00,5,96559299,primary,6.30
96559302,None,2,primary,None,12.30,0.00,5,96559302,primary,6.30
96559304,None,2,primary,None,12.30,0.00,5,96559304,primary,6.30
96751431,None,2,primary,None,12.30,8.30,6,46812,DotRef,6.30
96764359,None,2,primary,None,12.30,0.00,5,96764359,primary,6.30
96764360,None,2,primary,None,12.30,0.00,5,96764360,primary,6.30
96857015,None,2,primary,None,12.30,None,6,96857015,primary,6.30
96885307,no,2,primary,None,12.30,18.50,3a,80722,DotRef,6.30
97010240,None,2,primary,None,12.30,0.00,5,97010240,primary,6.30
97213062,None,2,primary,None,12.30,6.60,6,57771,DotRef,6.30
97232067,None,1,primary,None,9.15,0.00,5,97232067,primary,3.15
97250698,None,2,primary,None,12.30,9.40,6,26899,DotRef,6.30
97280539,None,2,primary,None,12.30,7.60,6,16641,DotRef,6.30
97280542,None,2,primary,None,12.30,8.70,6,16641,DotRef,6.30
97390997,None,1,primary,None,9.15,7.00,6,6428,DotRef,3.15
97417581,None,2,primary,None,12.30,7.70,6,46812,DotRef,6.30
97421609,None,2,primary,None,12.30,6.80,6,56520,DotRef,6.30
97421613,None,2,primary,None,12.30,0.00,5,56520,DotRef,6.30
97421621,None,2,primary,None,12.30,7.80,6,46681,DotRef,6.30
97421622,None,2,primary,None,12.30,0.00,5,17865,DotRef,6.30
97421623,None,2,primary,None,12.30,7.80,6,47944,DotRef,6.30
97421624,None,2,primary,None,12.30,7.10,6,47944,DotRef,6.30
97430832,None,2,primary,None,12.30,0.00,5,74545,DotRef,6.30
97452807,None,2,primary,None,12.30,8.00,6,26773,DotRef,6.30
97473125,None,2,primary,None,12.30,0.00,5,8542,DotRef,6.30
97473142,None,3,primary,None,15.45,0.00,5,57911,DotRef,9.45
97473197,None,1,primary,None,9.15,0.00,5,26201,DotRef,3.15
97700972,None,2,primary,None,12.30,7.30,6,56421,DotRef,6.30
97715618,None,2,primary,None,12.30,6.40,6,7060,DotRef,6.30
97761741,None,2,primary,None,12.30,6.70,6,47506,DotRef,6.30
98105454,None,2,primary,None,12.30,None,6,98105454,primary,6.30
98105465,None,2,primary,None,12.30,None,6,98105465,primary,6.30
98192601,None,2,primary,None,12.30,8.30,6,56944,DotRef,6.30
98222517,None,2,primary,None,12.30,11.70,3a,27734,DotRef,6.30
98230193,None,2,primary,None,12.30,6.80,6,99907,DotRef,6.30
98230194,None,2,primary,None,12.30,7.00,6,99907,DotRef,6.30
98230197,None,2,primary,None,12.30,7.00,6,99907,DotRef,6.30
98437585,None,2,primary,None,12.30,0.00,5,56686,DotRef,6.30
98477125,None,2,primary,None,12.30,18.60,3a,27663,DotRef,6.30
98477127,None,2,primary,None,12.30,0.00,5,70192,DotRef,6.30
98552272,None,2,primary,None,12.30,5.40,6,56944,DotRef,6.30
98552695,None,2,primary,None,12.30,8.00,6,46920,DotRef,6.30
98552703,None,2,primary,None,12.30,7.70,6,46920,DotRef,6.30
